1,0.42,2.74,-79.40,0.66
1,0.39,2.64,-69.10,0.67
1,0.37,2.58,-67.50,0.68
1,0.35,2.51,-77.60,0.69
1,0.34,2.44,-70.10,0.70
1,0.32,2.35,-70.90,0.71
1,0.29,2.26,-79.90,0.72
1,0.28,2.21,-67.90,0.73
1,0.26,2.12,-78.70,0.74
1,0.25,2.05,-73.10,0.75
1,0.23,1.97,-69.40,0.76
1,0.22,1.91,-80.40,0.77
1,0.20,1.82,-68.40,0.78
1,0.19,1.77,-74.90,0.79
1,0.18,1.68,-77.90,0.80
1,0.16,1.61,-67.70,0.81
1,0.15,1.52,-79.80,0.82
1,0.14,1.44,-72.40,0.83
1,0.13,1.37,-71.40,0.84
1,0.11,1.28,-76.40,0.85
1,0.10,1.22,-68.30,0.86
1,0.09,1.13,-80.80,0.87
1,0.09,1.07,-79.30,0.88
1,0.07,0.98,-69.60,0.89
1,0.07,0.92,-80.60,0.90
1,0.06,0.83,-69.30,0.91
1,0.05,0.74,-75.20,0.92
1,0.05,0.67,-75.90,0.93
1,0.04,0.59,-69.30,0.94
1,0.03,0.52,-80.60,0.95
1,0.02,0.43,-68.20,0.96
1,0.02,0.38,-78.30,0.97
1,0.02,0.28,-71.50,0.98
1,0.01,0.22,-73.70,0.99
1,0.01,0.13,-75.80,1.00
1,0.00,0.07,-67.60,0.01
1,1.70,4.47,-44.10,0.02
1,1.70,4.53,-38.30,0.03
1,1.70,4.56,-46.80,0.04
1,1.70,4.62,-39.30,0.05
1,1.70,4.65,-48.80,0.06
1,1.69,4.69,-41.60,0.07
1,1.69,4.75,-48.30,0.08
1,1.69,4.81,-51.70,0.09
1,1.68,4.83,-45.60,0.10
1,1.68,4.90,-49.40,0.11
1,1.68,4.95,-53.00,0.12
1,1.68,5.00,-47.70,0.13
1,1.68,5.06,-55.50,0.14
1,1.67,5.10,-50.40,0.15
1,1.67,5.17,-60.10,0.16
1,1.66,5.21,-53.20,0.17
1,1.66,5.28,-62.70,0.18
1,1.65,5.32,-58.50,0.19
1,1.65,5.43,-62.00,0.20
1,1.63,5.52,-66.20,0.21
1,1.63,5.56,-67.40,0.22
1,1.61,5.62,-67.40,0.23
1,1.61,5.64,-69.00,0.24
1,1.58,5.68,-71.10,0.25
1,1.55,5.63,-72.10,0.26
1,1.49,5.52,-72.60,0.27
1,1.44,5.42,-72.20,0.28
1,1.37,5.28,-72.20,0.29
1,1.34,5.20,-72.80,0.30
1,1.28,5.08,-72.10,0.31
1,1.23,4.98,-72.00,0.32
